"conference_id","conference_name","conference_abbreviation","cy_id","cy_name","cy_abbreviation","cy_year","cy_location","cy_from","cy_to","cy_web","cy_state"
"1009","IEEE Asia Pacific Conference on Circuits and Systems","APCCAS","4536","IEEE Asia Pacific Conference on Circuits and Systems","APCCAS","2014","Okinawa, Japan","2014-11-17 00:00:00","2014-11-20 00:00:00","http://apccas2014.org/","archived"
"1009","IEEE Asia Pacific Conference on Circuits and Systems","APCCAS","4537","IEEE Asia Pacific Conference on Circuits and Systems","APCCAS","2012","Kaohsiung, Taiwan","2012-12-02 00:00:00","2012-12-05 00:00:00","http://www.apccas2012.org/","archived"
"1010","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","4538","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","2012","Cluj-Napoca, Romania","2012-05-24 00:00:00","2012-05-27 00:00:00","http://aqtr.ro/","archived"
"1010","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","4539","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","2008","Cluj-Napoca, Romania","2008-05-25 00:00:00","2008-05-25 00:00:00","http://aqtr.ro/","archived"
"1010","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","4540","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","2014","Cluj-Napoca, Romania","2014-05-22 00:00:00","2014-05-24 00:00:00","http://aqtr.ro/","archived"
"1010","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","4541","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR","2010","Cluj-Napoca, Romania","2010-05-28 00:00:00","2010-05-30 00:00:00","http://aqtr.ro/","archived"
"1011","International Symposium on Applied Reconfigurable Computing","ARC","4542","International Symposium on Applied Reconfigurable Computing","ARC","2015","Bochum, Germany","2015-04-14 00:00:00","2015-04-17 00:00:00","http://arc2015.esit.rub.de/","alive"
"1011","International Symposium on Applied Reconfigurable Computing","ARC","4543","International Symposium on Applied Reconfigurable Computing","ARC","2013","Los Angeles, USA, California","2013-03-25 00:00:00","2013-03-27 00:00:00","http://www.isi.edu/events/arc2013/","archived"
"1011","International Symposium on Applied Reconfigurable Computing","ARC","4544","International Workshop on Applied Reconfigurable Computing","ARC","2011","Belfast, UK","2011-03-21 00:00:00","2011-03-23 00:00:00","http://www.arc2011.org/","archived"
"1011","International Symposium on Applied Reconfigurable Computing","ARC","4545","International Symposium on Applied Reconfigurable Computing","ARC","2014","Vilamoura, Portugal","2014-04-14 00:00:00","2014-04-16 00:00:00","http://paginas.fe.up.pt/~specs/events/arc2014/","archived"
"1011","International Symposium on Applied Reconfigurable Computing","ARC","4546","International Workshop on Applied Reconfigurable Computing","ARC","2010","Bangkok, Thailand","2010-03-17 00:00:00","2010-03-19 00:00:00","http://www.arc2010.org/","archived"
"1011","International Symposium on Applied Reconfigurable Computing","ARC","4547","International Workshop on Applied Reconfigurable Computing","ARC","2012","Hong Kong, Hong Kong","2012-03-19 00:00:00","2012-03-23 00:00:00","http://arc2012.hk/","archived"
"1012","International Conference on Architecture of Computing Systems","ARCS","4548","International Conference on Architecture of Computing Systems","ARCS","2013","Prague, CZ","2013-02-19 00:00:00","2013-02-22 00:00:00","http://arcs2013.fit.cvut.cz/","archived"
"1012","International Conference on Architecture of Computing Systems","ARCS","4549","International Conference on Architecture of Computing Systems","ARCS","2015","Porto, Portugal","2015-03-24 00:00:00","2015-03-27 00:00:00","http://www.cister.isep.ipp.pt/arcs2015/","archived"
"1012","International Conference on Architecture of Computing Systems","ARCS","4550","International Conference on Architecture of Computing Systems","ARCS","2011","Como, Italy","2011-02-22 00:00:00","2011-02-25 00:00:00","http://conferences.dei.polimi.it/arcs2011/","archived"
"1012","International Conference on Architecture of Computing Systems","ARCS","4551","International Conference on Architecture of Computing Systems","ARCS","2009","Delft, NL","2009-03-10 00:00:00","2009-03-13 00:00:00","http://www.ida.ing.tu-bs.de/arcs09/","archived"
"1012","International Conference on Architecture of Computing Systems","ARCS","4552","International Conference on Architecture of Computing Systems","ARCS","2014","Luebeck, Germany","2014-02-25 00:00:00","2014-02-28 00:00:00","http://www.arcs2014.iti.uni-luebeck.de","archived"
"1012","International Conference on Architecture of Computing Systems","ARCS","4553","International Conference on Architecture of Computing Systems","ARCS","2012","Muenchen, Germany","2012-02-28 00:00:00","2012-03-02 00:00:00","http://www.lrz.de/~lis/arcs2012/","archived"
"1012","International Conference on Architecture of Computing Systems","ARCS","4554","International Conference on Architecture of Computing Systems","ARCS","2010","Hannover, Germany","2010-02-22 00:00:00","2010-02-25 00:00:00","http://www.sra.uni-hannover.de/arcs2010/","archived"
"1013","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","4555","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","2012","Delft, Netherlands","2012-07-09 00:00:00","2012-07-12 00:00:00","http://asap-conference.org","archived"
"1013","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","4556","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","2010","Rennes, France","2010-07-07 00:00:00","2010-07-09 00:00:00","http://asap-conference.org","archived"
"1013","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","4557","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","2013","Washington D.C., USA","2013-07-05 00:00:00","2013-07-07 00:00:00","http://asap-conference.org","archived"
"1013","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","4558","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","2011","Santa Monica, CA, USA","2011-09-11 00:00:00","2011-09-14 00:00:00","http://asap-conference.org","archived"
"1013","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","4559","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","2014","Zurich, Switzerland","2014-06-18 00:00:00","2014-06-20 00:00:00","http://asap-conference.org","archived"
"1014","Baltic Electronics Conference","BEC","4574","Baltic Electronics Conference","BEC","2008","Tallinn, Estonia","2008-10-06 00:00:00","2008-10-08 00:00:00","http://www.elin.ttu.ee/bec/","archived"
"1014","Baltic Electronics Conference","BEC","4575","Baltic Electronics Conference","BEC","2014","Tallinn, Estonia","2014-10-06 00:00:00","2014-10-08 00:00:00","http://www.elin.ttu.ee/bec/","archived"
"1014","Baltic Electronics Conference","BEC","4576","Baltic Electronics Conference","BEC","2010","Tallinn, Estonia","2010-10-04 00:00:00","2010-10-06 00:00:00","http://www.elin.ttu.ee/bec/","archived"
"1014","Baltic Electronics Conference","BEC","4577","Baltic Electronics Conference","BEC","2012","Tallinn, Estonia","2012-10-06 00:00:00","2012-10-08 00:00:00","http://www.elin.ttu.ee/bec/","archived"
"1015","International Conference on Advances in Circuits, Electronics and Micro-electronics","CENICS","4578","International Conference on Advances in Circuits, Electronics and Micro-electronics","CENICS","2015","Venice, Italy","2015-08-23 00:00:00","2015-08-28 00:00:00","http://www.iaria.org/conferences2015/ComCENICS15.html","alive"
"1016","IFAC Conference on Embedded Systems, Computer Intelligence and Telematics","CESCIT","4579","IFAC Conference on Embedded Systems, Computer Intelligence and Telematics","CESCIT","2015","Maribor, Slovenia","2015-06-22 00:00:00","2015-06-24 00:00:00","http://cescit2015.um.si","alive"
"1017","Workshop on Cryptographic Hardware and Embedded Systems","CHES","4580","Workshop on Cryptographic Hardware and Embedded Systems","CHES","2014","Busan, Korea","2014-09-23 00:00:00","2014-09-26 00:00:00","http://www.chesworkshop.org/","archived"
"1018","International Conference on Integration of Artificial Intelligence and Operations Research","CPAIOR","4581","International Conference on Integration of Artificial Intelligence and Operations Research","CPAIOR","2010","Bologna, Italy","2010-06-14 00:00:00","2010-06-18 00:00:00","http://cpaior2010.ing.unibo.it/","archived"
"1018","International Conference on Integration of Artificial Intelligence and Operations Research","CPAIOR","4582","International Conference on Integration of Artificial Intelligence and Operations Research","CPAIOR","2011","Berlin, Germany","2011-05-23 00:00:00","2011-05-27 00:00:00","http://cpaior2011.zib.de/","archived"
"1018","International Conference on Integration of Artificial Intelligence and Operations Research","CPAIOR","4583","International Conference on Integration of Artificial Intelligence and Operations Research","CPAIOR","2014","Cork, Ireland","2014-05-19 00:00:00","2014-05-19 00:00:00","http://4c.ucc.ie/cpaior2014/cfp.html","archived"
"1019","Workshop on Cryptography and Security in Computing Systems","CS2","4584","Workshop on Cryptography and Security in Computing Systems","CS2","2015","Amsterdam, NL","2015-01-19 00:00:00","2015-01-21 00:00:00","http://www.cs2.deib.polimi.it/","archived"
"1019","Workshop on Cryptography and Security in Computing Systems","CS2","4585","Workshop on Cryptography and Security in Computing Systems","CS2","2014","Vienna, Austria","2014-01-20 00:00:00","2014-01-20 00:00:00","http://www.cs2.deib.polimi.it/","archived"
"1020","International Workshop on Interactions between Computer Science and Biology","CS2Bio","4586","International Workshop on Interactions between Computer Science and Biology","CS2Bio","2014","Berlin, Gernany","2014-06-07 00:00:00","2014-06-07 00:00:00","http://combio.abo.fi/cs2bio14/","archived"
"1021","International Conference on Computer Supported Education","CSEDU","4587","International Conference on Computer Supported Education","CSEDU","2013","Aachen, Germany","2013-05-06 00:00:00","2013-05-08 00:00:00","http://www.csedu.org/","archived"
"1021","International Conference on Computer Supported Education","CSEDU","4588","International Conference on Computer Supported Education","CSEDU","2015","Lisbon, Portugal","2015-05-23 00:00:00","2015-05-25 00:00:00","http://www.csedu.org/","alive"
"1021","International Conference on Computer Supported Education","CSEDU","4589","International Conference on Computer Supported Education","CSEDU","2011","Noordwijkerhout, NL","2011-05-06 00:00:00","2011-05-09 00:00:00","http://www.csedu.org/","archived"
"1021","International Conference on Computer Supported Education","CSEDU","4590","Computer Supported Education","CSEDU","2009","Lisboa, Portugal","2009-03-23 00:00:00","2009-03-26 00:00:00","http://www.csedu.org/","archived"
"1021","International Conference on Computer Supported Education","CSEDU","4591","International Conference on Computer Supported Education","CSEDU","2014","Barcelona, Spain","2014-04-01 00:00:00","2014-04-03 00:00:00","http://www.csedu.org/","archived"
"1021","International Conference on Computer Supported Education","CSEDU","4592","International Conference on Computer Supported Education","CSEDU","2012","Porto, Portugal","2012-04-16 00:00:00","2012-04-18 00:00:00","http://www.csedu.org/","archived"
"1021","International Conference on Computer Supported Education","CSEDU","4593","International Conference on Computer Supported Education","CSEDU","2010","Valencia, Spain","2010-04-07 00:00:00","2010-04-10 00:00:00","http://www.csedu.org/","archived"
"1022","International Conference on Computer Science Education: Innovation and Technology","CSEIT","4594","International Conference on Computer Science Education: Innovation and Technology","CSEIT","2014","Singapore, Singapore","2014-09-22 00:00:00","2014-09-23 00:00:00","http://www.cseducation.org","archived"
"1022","International Conference on Computer Science Education: Innovation and Technology","CSEIT","4595","International Conference on Computer Science Education: Innovation and Technology","CSEIT","2013","Phuket, Thailand","2013-10-28 00:00:00","2013-10-29 00:00:00","http://www.cseducation.org","archived"
"1023","International Conference on Communication Theory, Reliability, and Quality of Service","CTRQ","4596","International Conference on Communication Theory, Reliability, and Quality of Service","CTRQ","2014","Nice, France","2014-02-23 00:00:00","2014-02-27 00:00:00","http://www.iaria.org/conferences2014/CTRQ14.html","archived"
"1023","International Conference on Communication Theory, Reliability, and Quality of Service","CTRQ","4597","International Conference on Communication Theory, Reliability, and Quality of Service","CTRQ","2013","Venice, Italy","2013-04-22 00:00:00","2013-06-26 00:00:00","http://www.iaria.org/conferences2013/CTRQ13.html","archived"
"1023","International Conference on Communication Theory, Reliability, and Quality of Service","CTRQ","4598","International Conference on Communication Theory, Reliability, and Quality of Service","CTRQ","2012","Chamonix, France","2012-04-29 00:00:00","2012-05-04 00:00:00","http://www.iaria.org/conferences2012/CTRQ12.html","archived"
"1024","International Workshop on Design, Modeling and Evaluation of Cyber Physical Systems","CyPhy","4599","International Workshop on Design, Modeling and Evaluation of Cyber Physical Systems","CyPhy","2015","Amsterdam, Netherlands","2015-10-08 00:00:00","2015-10-08 00:00:00","http://www.cyphy.org/","alive"
"1025","Design and Analysis of Control Systems","DACS","4604","Design and Analysis of Control Systems","DACS","2015","Athens, Greece","2015-03-20 00:00:00","2015-03-23 00:00:00","http://www.dacs.iie.uz.zgora.pl/","archived"
"1026","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","4605","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","2014","Dalian, China","2014-08-24 00:00:00","2014-08-27 00:00:00","http://action.dlmu.edu.cn/uscience/dasc2014/","archived"
"1026","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","4606","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","2012","Changzhou, China","2012-12-17 00:00:00","2012-12-20 00:00:00","http://cse.stfx.ca/~dasc2012/","archived"
"1026","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","4607","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","2013","Chengdu, China","2013-12-21 00:00:00","2013-12-22 00:00:00","http://umc.uestc.edu.cn/conference/uscience2013/DASC2013/DASC2013.php","archived"
"1026","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","4608","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC","2011","Sydney, Australia","2011-12-12 00:00:00","2011-12-14 00:00:00","http://www.swinflow.org/confs/dasc2011/","archived"
"1027","Conference on Design and Architectures for Signal and Image Processing","DASIP","4609","Conference on Design and Architectures for Signal and Image Processing","DASIP","2010","Edinburgh, Scotland","2010-10-26 00:00:00","2010-10-28 00:00:00","http://www.ecsi.org/dasip","archived"
"1027","Conference on Design and Architectures for Signal and Image Processing","DASIP","4610","Conference on Design and Architectures for Signal and Image Processing","DASIP","2013","Cagliari, Italy","2013-10-08 00:00:00","2013-10-10 00:00:00","http://www.ecsi.org/dasip","archived"
"1027","Conference on Design and Architectures for Signal and Image Processing","DASIP","4611","Conference on Design and Architectures for Signal and Image Processing","DASIP","2011","Tampere, Finland","2011-11-02 00:00:00","2011-11-04 00:00:00","http://www.ecsi.org/dasip","archived"
"1027","Conference on Design and Architectures for Signal and Image Processing","DASIP","4612","Conference on Design and Architectures for Signal and Image Processing","DASIP","2014","Madrid, Spain","2014-10-08 00:00:00","2014-10-10 00:00:00","http://www.ecsi.org/dasip","archived"
"1027","Conference on Design and Architectures for Signal and Image Processing","DASIP","4613","Conference on Design and Architectures for Signal and Image Processing","DASIP","2009","Sophia Antipolis, FR","2009-09-22 00:00:00","2009-09-24 00:00:00","http://www.ecsi.org/dasip","archived"
"1027","Conference on Design and Architectures for Signal and Image Processing","DASIP","4614","Conference on Design and Architectures for Signal and Image Processing","DASIP","2012","Karlsruhe, Germany","2012-10-23 00:00:00","2012-10-25 00:00:00","http://www.ecsi.org/dasip","archived"
"1028","IEEE INTERNATIONAL WORKSHOP on DIGITAL AND ANALOG TEST AND DATA ANALYSIS","DATA","4615","IEEE INTERNATIONAL WORKSHOP on DIGITAL AND ANALOG TEST AND DATA ANALYSIS","DATA","2014","Seattle, Washington, USA","2014-10-23 00:00:00","2014-10-24 00:00:00","http://DATA.tttc-events.org/","archived"
"1028","IEEE INTERNATIONAL WORKSHOP on DIGITAL AND ANALOG TEST AND DATA ANALYSIS","DATA","4616","IEEE INTERNATIONAL WORKSHOP on DIGITAL AND ANALOG TEST AND DATA ANALYSIS","DATA","2013","Anaheim, USA, CA","2013-09-12 00:00:00","2013-09-12 00:00:00","http://DATA.tttc-events.org/","archived"
"1029","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","4620","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","2013","Hong Kong, Hong Kong","2013-03-13 00:00:00","2013-03-15 00:00:00","http://datics.org/datics-imecs-13","archived"
"1029","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","4621","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","2008","Crete, Greece","2008-07-22 00:00:00","2008-07-24 00:00:00","http://digilander.libero.it/systemcfl/datics/","archived"
"1029","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","4622","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","2009","Hong Kong, Hong Kong","2009-03-18 00:00:00","2009-03-20 00:00:00","http://digilander.libero.it/systemcfl/datics09-imecs/","archived"
"1029","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","4623","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","2012","Hong Kong, Hong Kong","2012-03-14 00:00:00","2012-03-16 00:00:00","http://datics.nesea-conference.org/datics-imecs2012/","archived"
"1029","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","4624","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","2014","Hong Kong, Hong Kong","2014-03-12 00:00:00","2014-03-14 00:00:00","http://datics.org/datics/imecs-2014","archived"
"1029","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","4625","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS","2010","Hong Kong, Hong Kong","2010-03-17 00:00:00","2010-03-19 00:00:00","http://www.iaeng.org/IMECS2010/ICEE2010.html","archived"
"1030","IEEE Dallas Circuits and Systems Conference","DCAS","4626","IEEE Dallas Circuits and Systems Conference","DCAS","2014","Dallas, TX, USA","2014-10-12 00:00:00","2014-10-13 00:00:00","http://ewh.ieee.org/soc/cas/dallas/dcas2014/","archived"
"1031","IFAC Workshop on Dependable Control of Discrete Systems","DCDS","4627","IFAC Workshop on Dependable Control of Discrete Systems","DCDS","2013","York, UK","2013-09-04 00:00:00","2013-09-06 00:00:00","http://dcds13.net.dcs.hull.ac.uk/","archived"
"1031","IFAC Workshop on Dependable Control of Discrete Systems","DCDS","4628","IFAC Workshop on Dependable Control of Discrete Systems","DCDS","2009","Bari, Italy","2009-06-10 00:00:00","2009-06-12 00:00:00","http://dcds09.poliba.it/DCDS09/Home.html","archived"
"1032","Conference on Design of Circuits and Integrated Systems","DCIS","4629","Conference on Design of Circuits and Integrated Systems","DCIS","2013","Avignon, France","2013-11-27 00:00:00","2013-11-29 00:00:00","http://www.dcis.org","archived"
"1032","Conference on Design of Circuits and Integrated Systems","DCIS","4630","Conference on Design of Circuits and Integrated Systems","DCIS","2014","Madrid, Spain","2014-11-26 00:00:00","2014-11-28 00:00:00","http://www.dcis.org","archived"
"1032","Conference on Design of Circuits and Integrated Systems","DCIS","4631","Conference on Design of Circuits and Integrated Systems","DCIS","2010","Lanzarote, Canary Islands, Spain","2010-11-17 00:00:00","2010-11-19 00:00:00","http://www.dcis.org","archived"
"1032","Conference on Design of Circuits and Integrated Systems","DCIS","4632","Conference on Design of Circuits and Integrated Systems","DCIS","2008","Grenoble, FR","2008-11-12 00:00:00","2008-11-14 00:00:00","http://obaldia.imag.fr/","archived"
"1032","Conference on Design of Circuits and Integrated Systems","DCIS","4633","Conference on Design of Circuits and Integrated Systems","DCIS","2011","Albufeira, Portugal","2011-11-16 00:00:00","2011-11-18 00:00:00","http://www.dcis.org","archived"
"1032","Conference on Design of Circuits and Integrated Systems","DCIS","4634","Conference on Design of Circuits and Integrated Systems","DCIS","2009","Zaragoza, Spain","2009-11-18 00:00:00","2009-11-20 00:00:00","http://dcis2009.unizar.es/","archived"
"1033","IEEE International Symposium on Electronic Design, Test &  Applications","DELTA","4640","IEEE International Symposium on Electronic Design, Test &  Applications","DELTA","2008","Hong Kong, Hong Kong","2008-01-23 00:00:00","2008-01-25 00:00:00","http://www.ece.ust.hk/delta2008/","archived"
"1033","IEEE International Symposium on Electronic Design, Test &  Applications","DELTA","4641","IEEE International Symposium on Electronic Design, Test &  Applications","DELTA","2010","Ho Chi Minh City, Vietnam","2010-01-13 00:00:00","2010-01-15 00:00:00","http://nnttf.ecu.edu.au/delta2010/","archived"
"1034","International Conference on Dependability","DEPEND","4642","International Conference on Dependability","DEPEND","2013","Barcelona, Spain","2013-08-25 00:00:00","2013-08-31 00:00:00","http://www.iaria.org/conferences2013/DEPEND13.html","archived"
"1034","International Conference on Dependability","DEPEND","4643","International Conference on Dependability","DEPEND","2014","Lisbon, Portugal","2014-11-16 00:00:00","2014-11-20 00:00:00","http://www.iaria.org/conferences2014/DEPEND14.html","archived"
"1034","International Conference on Dependability","DEPEND","4644","International Conference on Dependability","DEPEND","2012","Rome, Italy","2012-08-19 00:00:00","2012-08-24 00:00:00","http://www.iaria.org/conferences2012/DEPEND12.html","archived"
"1035","IFAC WORKSHOP ON DISCRETE-EVENT SYSTEM DESIGN","DESDes","4645","IFAC WORKSHOP ON DISCRETE-EVENT SYSTEM DESIGN","DESDes","2012","Sao Paulo, Brazil","2012-10-01 00:00:00","2012-10-04 00:00:00","http://www.desdes.uz.zgora.pl/","archived"
"1035","IFAC WORKSHOP ON DISCRETE-EVENT SYSTEM DESIGN","DESDes","4646","IFAC WORKSHOP ON DISCRETE-EVENT SYSTEM DESIGN","DESDes","2009","Gandia Beach, Spain","2009-10-06 00:00:00","2009-10-08 00:00:00","http://www.desdes.uz.zgora.pl/","archived"
"1036","HiPEAC Workshop on Design for Reliability","DFR","4647","HiPEAC Workshop on Design for Reliability","DFR","2010","Pisa, Italy","2010-01-25 00:00:00","2010-01-25 00:00:00","http://www.ece.ucy.ac.cy/labs/easoc/dfr/","archived"
"1036","HiPEAC Workshop on Design for Reliability","DFR","4648","HiPEAC Workshop on Design for Reliability","DFR","2013","Berlin, Germany","2013-01-21 00:00:00","2013-01-23 00:00:00","http://www.cs.ucy.ac.cy/carch/DFR2013/","archived"
